,R_mean,R_std,R_sum,G_mean,G_std,G_sum,B_mean,B_std,B_sum,total_mean,total_std,total_sum,class
887,193.42873086734693,28.21085787466426,9705480,175.19772401147958,37.61777407583604,8790721,183.7325813137755,33.30033549486007,9218966,184.11967873086735,34.08944775449927,27715167,cellSpace
888,121.87135283801021,37.59752003638044,6115017,92.4545599489796,44.941091862754725,4639000,123.81134406887755,43.8070282888297,6212358,112.71241895195578,44.60860917754752,16966375,cellSpace
889,209.52604830994898,30.074189447291328,10513179,213.69080835459184,27.40432946840963,10722150,216.94327965561226,15.98197985619933,10885346,213.38671210671768,25.41996719679352,32120675,cellSpace
890,197.5880500637755,29.38512261636177,9914178,190.57114955357142,35.059197386003014,9562098,196.49561543367346,29.821870664559953,9859364,194.88493835034015,31.677997568492717,29335640,cellSpace
891,207.68028539540816,30.378152242290746,10420566,205.79540019132654,35.44370985727019,10325990,206.15170599489795,29.807234115823288,10343868,206.54246386054422,31.987316973128973,31090424,cellSpace
892,213.72869499362244,39.17885622539924,10724051,214.0740593112245,39.86477781345808,10741380,224.0237962372449,27.071402652679097,11240618,217.27551684736395,36.17279215640829,32706049,cellSpace
893,148.87476084183675,58.2611420277946,7469940,132.92472496811226,66.76701996258036,6669631,164.48060825892858,54.98148189744388,8252979,148.76003135629253,61.5712747042523,22392550,cellSpace
894,157.36547353316325,49.68902977572806,7895970,127.70661272321429,64.25211238107316,6407807,146.76805644132654,56.877094503522514,7364234,143.94671423256804,58.549413531666346,21668011,cellSpace
895,146.6358418367347,63.59726540671564,7357600,141.4296277104592,68.2339046434683,7096373,180.51267538265307,45.04622721676897,9057404,156.19271497661563,62.26391020102011,23511377,cellSpace
896,193.04197225765307,24.32993840007669,9686074,190.27268016581633,26.524118875738612,9547122,205.8816366390306,22.252449686718382,10330317,196.39876302083334,25.359864150390475,29563513,cellSpace
897,84.95398198341837,57.79591197908322,4262651,66.1264947385204,57.720651690488985,3317963,99.25127551020408,63.72117631926477,4980032,83.44391741071429,61.33100188780594,12560646,cellSpace
898,137.63817362882654,73.50580058249,6906133,120.56993383290816,84.37512833065878,6049717,141.70844626913265,76.00152512416315,7110363,133.30551791028913,78.63432887668081,20066213,cellSpace
899,173.44312021683675,32.37123470672251,8702682,161.7147839604592,38.83767527276416,8114201,179.77843989158163,30.548682082318575,9020563,171.6454480229592,34.91646748441635,25837446,cellSpace
900,201.42113759566325,23.413905615960804,10106507,191.63081951530611,30.742210267346785,9615268,197.82336176658163,27.821790130138357,9925985,196.95843962585033,27.78724991719477,29647760,cellSpace
901,183.06112484056123,29.806086171147605,9185275,185.71733498086735,31.3978244618917,9318553,195.07826450892858,25.651579690974348,9788247,187.95224144345238,29.506653078434866,28292075,cellSpace
902,211.5736009247449,37.43046119218262,10615917,211.21938775510205,42.18761880642565,10598144,214.19642857142858,28.82591048750539,10747520,212.32980575042518,36.59260797696739,31961581,cellSpace
903,201.26992984693877,40.9236014122181,10098920,186.74978077168367,52.91882966426491,9370357,191.46799266581633,44.45849265641559,9607098,193.16256776147958,46.766889984896444,29076375,cellSpace
904,123.7255859375,53.38457528652886,6208055,116.76486766581633,54.58122982025079,5858794,167.25538105867346,31.380054483986033,8392206,135.91527822066325,52.634780056873964,20459055,cellSpace
905,175.1669921875,37.4306634109803,8789179,157.16033561862244,49.65971761709438,7885677,159.16667330994898,48.139919730240784,7986347,163.83133370535714,46.11345578798436,24661203,cellSpace
906,139.92010124362244,34.48769117745097,7020631,131.7804727359694,42.21642973200525,6612217,149.0315489477041,41.620137325999686,7477807,140.2440409757653,40.21948463850272,21110655,cellSpace
907,119.88068000637755,60.24948076838751,6015133,97.80173788265306,72.27880463634091,4907300,121.46593989158163,63.256093637844316,6094675,113.04945259353741,66.34645091022065,17017108,cellSpace
